CBSA,CBSA Code,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI
"Joplin, MO",27900,213,186,27,0,0,0,0,82
"Juneau, AK",27940,177,174,3,0,0,0,0,66
"Kahului-Wailuku-Lahaina, HI",27980,170,168,2,0,0,0,0,56
"Kalamazoo-Portage, MI",28020,181,159,18,4,0,0,0,115
"Kalispell, MT",28060,244,229,15,0,0,0,0,91
"Kansas City, MO-KS",28140,214,123,87,3,1,0,0,157
"Kapaa, HI",28180,182,182,0,0,0,0,0,41
"Keene, NH",28300,182,172,10,0,0,0,0,66
"Kennewick-Richland, WA",28420,244,228,16,0,0,0,0,90
"Killeen-Temple, TX",28660,182,143,38,1,0,0,0,135
"Kingsport-Bristol-Bristol, TN-VA",28700,192,174,16,2,0,0,0,109
"Kingsville, TX",28780,163,112,48,1,2,0,0,168
"Kinston, NC",28820,207,201,6,0,0,0,0,58
"Klamath Falls, OR",28900,111,67,44,0,0,0,0,98
"Knoxville, TN",28940,305,250,55,0,0,0,0,92
"Kokomo, IN",29020,274,237,36,1,0,0,0,108
"La Crosse-Onalaska, WI-MN",29100,180,152,28,0,0,0,0,93
"La Grande, OR",29260,106,106,0,0,0,0,0,46
"Laconia, NH",29060,177,176,1,0,0,0,0,61
"Lafayette, LA",29180,274,214,59,1,0,0,0,120
"Lafayette-West Lafayette, IN",29200,274,200,74,0,0,0,0,100
"Lake Charles, LA",29340,263,181,81,1,0,0,0,116
"Lake City, FL",29380,130,109,18,1,2,0,0,158
"Lake Havasu City-Kingman, AZ",29420,267,262,4,1,0,0,0,116
"Lakeland-Winter Haven, FL",29460,182,146,36,0,0,0,0,87
"Lancaster, PA",29540,244,179,63,2,0,0,0,105
"Lansing-East Lansing, MI",29620,182,164,18,0,0,0,0,90
"Laramie, WY",29660,242,175,63,4,0,0,0,136
"Laredo, TX",29700,183,128,52,2,1,0,0,160
"Las Cruces, NM",29740,274,171,92,8,1,1,1,346
"Las Vegas-Henderson-Paradise, NV",29820,275,93,163,17,2,0,0,174
"Lawrenceburg, TN",29980,182,177,5,0,0,0,0,72
"Lawton, OK",30020,272,221,50,1,0,0,0,107
"Lebanon, PA",30140,42,34,8,0,0,0,0,79
"Lewiston, ID-WA",30300,274,223,43,1,5,1,1,321
"Lewiston-Auburn, ME",30340,305,294,11,0,0,0,0,64
"Lexington-Fayette, KY",30460,187,169,18,0,0,0,0,80
"Lima, OH",30620,268,234,33,1,0,0,0,105
"Lincoln, NE",30700,244,237,7,0,0,0,0,74
"Little Rock-North Little Rock-Conway, AR",30780,275,207,66,2,0,0,0,132
"Logan, UT-ID",30860,305,212,85,4,4,0,0,159
"Longview, TX",30980,182,161,18,3,0,0,0,114
"Longview, WA",31020,244,243,1,0,0,0,0,53
"Los Alamos, NM",31060,20,20,0,0,0,0,0,13
"Los Angeles-Long Beach-Anaheim, CA",31080,183,58,87,25,11,2,0,206
"Louisville/Jefferson County, KY-IN",31140,274,203,70,1,0,0,0,143
"Lubbock, TX",31180,208,196,12,0,0,0,0,72
"Ludington, MI",31220,224,202,20,1,1,0,0,159
"Lynchburg, VA",31340,65,64,1,0,0,0,0,54
"Macon, GA",31420,274,245,29,0,0,0,0,97
"Madera, CA",31460,212,122,87,3,0,0,0,143
"Madison, WI",31540,182,139,39,4,0,0,0,115
"Manchester-Nashua, NH",31700,183,179,4,0,0,0,0,74
"Manitowoc, WI",31820,85,71,11,3,0,0,0,136
"Marietta, OH",31930,214,202,11,1,0,0,0,108
"Marshall, MN",32140,179,165,14,0,0,0,0,80
"Marshall, TX",32220,181,162,19,0,0,0,0,100
"Mason City, IA",32380,93,93,0,0,0,0,0,47
"Mayaguez, PR",32420,210,152,20,2,11,16,9,396
"McAlester, OK",32540,273,221,51,1,0,0,0,141
"McAllen-Edinburg-Mission, TX",32580,182,123,54,3,2,0,0,155
"Medford, OR",32780,192,173,19,0,0,0,0,65
"Memphis, TN-MS-AR",32820,274,179,92,3,0,0,0,115
"Merced, CA",32900,274,147,102,13,12,0,0,183
"Meridian, MS",32940,209,209,0,0,0,0,0,50
"Miami, OK",33060,168,147,19,1,1,0,0,154
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,183,115,68,0,0,0,0,93
"Michigan City-La Porte, IN",33140,274,224,43,6,1,0,0,154
"Middlesborough, KY",33180,131,128,3,0,0,0,0,55
"Milwaukee-Waukesha-West Allis, WI",33340,183,129,50,3,1,0,0,169
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,183,123,60,0,0,0,0,87
"Minot, ND",33500,274,267,7,0,0,0,0,69
"Missoula, MT",33540,213,159,53,1,0,0,0,105
"Mobile, AL",33660,203,184,19,0,0,0,0,68
"Modesto, CA",33700,274,139,108,14,13,0,0,184
"Monroe, LA",33740,274,260,14,0,0,0,0,71
"Monroe, MI",33780,198,196,2,0,0,0,0,66
"Montgomery, AL",33860,209,103,104,2,0,0,0,116
"Morehead City, NC",33980,240,237,3,0,0,0,0,61
"Morgantown, WV",34060,270,256,14,0,0,0,0,90
"Morristown, TN",34100,117,112,5,0,0,0,0,61
"Moscow, ID",34140,182,182,0,0,0,0,0,28
"Moses Lake, WA",34180,244,243,1,0,0,0,0,53
"Mount Pleasant, TX",34420,174,174,0,0,0,0,0,19
"Mount Vernon, IL",34500,261,206,54,1,0,0,0,118
"Mount Vernon, OH",34540,214,195,19,0,0,0,0,80
"Mount Vernon-Anacortes, WA",34580,187,187,0,0,0,0,0,44
"Muncie, IN",34620,273,242,31,0,0,0,0,97
"Muscatine, IA",34700,305,269,35,1,0,0,0,124
"Muskegon, MI",34740,124,106,14,4,0,0,0,143
"Muskogee, OK",34780,230,230,0,0,0,0,0,27
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,266,256,10,0,0,0,0,100
"Napa, CA",34900,215,192,18,5,0,0,0,140
"Naples-Immokalee-Marco Island, FL",34940,181,151,30,0,0,0,0,84
